2026-09-10 15:38:45 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=05352237000155 ERROS=0 AVISOS=0
2026-09-10 15:38:45 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo EDF 01042026.xlsx em modo incremental.
2026-09-10 15:38:45 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:45 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=21812954000179
2026-09-10 15:38:45 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=21812954000179 ERROS=0 AVISOS=0
2026-09-10 15:38:45 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo EDF 06122023.xlsx em modo incremental.
2026-09-10 15:38:45 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:45 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=35984409000174
2026-09-10 15:38:45 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=35984409000174 ERROS=0 AVISOS=0
2026-09-10 15:38:45 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo EDF 30062026.xlsx em modo incremental.
2026-09-10 15:38:46 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:46 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=35984409000174
2026-09-10 15:38:46 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=35984409000174 ERROS=0 AVISOS=0
2026-09-10 15:38:46 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo EDF RENEWABLES VERDECOM 03082026.xlsx em modo incremental.
2026-09-10 15:38:46 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:46 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=35984409000174
2026-09-10 15:38:46 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=35984409000174 ERROS=0 AVISOS=0
2026-09-10 15:38:47 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo EDF VERDECOM 22082025.xlsx em modo incremental.
2026-09-10 15:38:47 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:47 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=35984409000174
2026-09-10 15:38:47 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=35984409000174 ERROS=0 AVISOS=0
2026-09-10 15:38:47 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo EDP 21052026.xlsx em modo incremental.
2026-09-10 15:38:48 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:48 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=04149295000113
2026-09-10 15:38:48 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=04149295000113 ERROS=0 AVISOS=0
2026-09-10 15:38:48 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo EDP_12062023.xlsx em modo incremental.
2026-09-10 15:38:48 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:48 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=04149295000113
2026-09-10 15:38:48 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=04149295000113 ERROS=0 AVISOS=0
